"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","663","GET request to the API","firefox","Thu Feb 13 14:23:05 IST 2025","passed","Thu Feb 13 14:23:06 IST 2025","","api\api.spec.ts","",""
"","10114","Login Test with Self-Healing Locators","","Sun Feb 09 18:28:02 IST 2025","passed","Sun Feb 09 18:28:12 IST 2025","","src\tests\login.spec.ts","",""
"","20644","Fail login with invalid credentials","webkit","Sun Feb 09 21:34:32 IST 2025","passed","Sun Feb 09 21:34:53 IST 2025","Login Tests","functional\login.spec.ts","",""
"","15680","Fail login with invalid credentials","chromium","Sun Feb 09 21:33:36 IST 2025","passed","Sun Feb 09 21:33:51 IST 2025","Login Tests","functional\login.spec.ts","",""
"","318","GET /users returns valid user list","","Sun Feb 09 18:28:01 IST 2025","passed","Sun Feb 09 18:28:02 IST 2025","","src\tests\api.spec.ts","",""
"","16625","Successful login with valid credentials","chromium","Sun Feb 09 21:33:35 IST 2025","passed","Sun Feb 09 21:33:51 IST 2025","Login Tests","functional\login.spec.ts","",""
"","744","GET request to the API","webkit","Thu Feb 13 14:23:05 IST 2025","passed","Thu Feb 13 14:23:06 IST 2025","","api\api.spec.ts","",""
"","30781","Complete checkout flow successfully","chromium","Sun Feb 09 21:33:35 IST 2025","failed","Sun Feb 09 21:34:05 IST 2025","","e2e\checkoutFlow.spec.ts","",""
"","18205","Add a product to cart","firefox","Sun Feb 09 21:33:54 IST 2025","passed","Sun Feb 09 21:34:12 IST 2025","Add to Cart Tests","functional\addToCart.spec.ts","",""
"","24298","Add a product to cart","webkit","Sun Feb 09 21:34:18 IST 2025","passed","Sun Feb 09 21:34:42 IST 2025","Add to Cart Tests","functional\addToCart.spec.ts","",""
"","976","get started link","","Sun Feb 09 18:28:03 IST 2025","passed","Sun Feb 09 18:28:04 IST 2025","","src\tests\example.spec.ts","",""
"","16739","Add a product to cart","chromium","Sun Feb 09 21:33:35 IST 2025","passed","Sun Feb 09 21:33:51 IST 2025","Add to Cart Tests","functional\addToCart.spec.ts","",""
"","40851","Complete checkout flow successfully","webkit","Sun Feb 09 21:34:20 IST 2025","failed","Sun Feb 09 21:35:01 IST 2025","","e2e\checkoutFlow.spec.ts","",""
"","22615","Successful login with valid credentials","webkit","Sun Feb 09 21:34:30 IST 2025","passed","Sun Feb 09 21:34:52 IST 2025","Login Tests","functional\login.spec.ts","",""
"","16846","Fail login with invalid credentials","firefox","Sun Feb 09 21:34:07 IST 2025","passed","Sun Feb 09 21:34:24 IST 2025","Login Tests","functional\login.spec.ts","",""
"","18427","Successful login with valid credentials","firefox","Sun Feb 09 21:33:54 IST 2025","passed","Sun Feb 09 21:34:13 IST 2025","Login Tests","functional\login.spec.ts","",""
"","689","GET request to the API","chromium","Thu Feb 13 14:23:05 IST 2025","passed","Thu Feb 13 14:23:06 IST 2025","","api\api.spec.ts","",""
"","33667","Complete checkout flow successfully","firefox","Sun Feb 09 21:33:54 IST 2025","failed","Sun Feb 09 21:34:27 IST 2025","","e2e\checkoutFlow.spec.ts","",""
"","1477","has title","","Sun Feb 09 18:28:01 IST 2025","passed","Sun Feb 09 18:28:03 IST 2025","","src\tests\example.spec.ts","",""
